year,reporting_status,catch
1994,Reported,82593670.91467637
1994,Unreported,33720507.02843113
1995,Reported,82455537.97825666
1995,Unreported,33397582.449692555
1996,Reported,83809064.04005834
1996,Unreported,35041271.291690454
1997,Reported,83651914.22702003
1997,Unreported,33735340.52200064
1998,Reported,76181479.65284614
1998,Unreported,31934195.18125108
1999,Reported,81194275.92000493
1999,Unreported,31685578.34242971
2000,Reported,82891960.72575167
2000,Unreported,32728714.57625254
2001,Reported,80764427.28840959
2001,Unreported,31849335.260279242
2002,Reported,81053046.56243774
2002,Unreported,30421106.82640614
2003,Reported,79393995.04330179
2003,Unreported,30480483.63604145
2004,Reported,83281477.30179591
2004,Unreported,31027642.498284485
2005,Reported,81874455.16466969
2005,Unreported,29854934.405536037
2006,Reported,79349825.93602256
2006,Unreported,28130208.447239865
2007,Reported,79465170.73183584
2007,Unreported,28355763.879182577
2008,Reported,78850528.6046487
2008,Unreported,27037806.032932345
2009,Reported,78765769.3577543
2009,Unreported,26341142.48151718
2010,Reported,76402455.04742768
2010,Unreported,26073427.169157024
2011,Reported,82893530.71440063
2011,Unreported,26467877.245934736
2012,Reported,79852170.86827579
2012,Unreported,24304459.466494825
2013,Reported,80455774.9733638
2013,Unreported,25094765.801300664
2014,Reported,81043658.29044336
2014,Unreported,25137489.202711783
2015,Reported,80549909.5515597
2015,Unreported,24575370.24245255
2016,Reported,78633885.44790442
2016,Unreported,23998336.754210737
2017,Reported,80047565.56437281
2017,Unreported,23202024.95666345
2018,Reported,83094882.33548741
2018,Unreported,23759665.005236167
2019,Reported,79039573.75067131
2019,Unreported,24110206.267229103
